"internet_compras_antes";"internet_serv_antes";"modo_compras_antes";"modo_serv_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"star_preco_antes";"star_compra_non_comercial_antes";"star_preco_entrega_antes";"star_prazo_entrega_antes";"star_entrega_agendada_antes";"star_retirada_antes";"star_devolucao_antes";"star_contato_antes";"cidade_moradia_antes";"bairro_moradia_antes";"cidade_trabalho_antes";"bairro_trabalho_antes";"internet_compras_depois";"internet_serv_depois";"modo_compras_depois";"modo_serv_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"star_preco_depois";"star_compra_non_comercial_depois";"star_preco_entrega_depois";"star_prazo_entrega_depois";"star_entrega_agendada_depois";"star_retirada_depois";"star_devolucao_depois";"star_contato_depois";"fisica_nenhuma";"internet_nenhuma";"fisica_mais";"internet_mais";"fisica_menos";"internet_menos";"fisica_dif";"internet_dif";"iso_parcial";"iso_total";"sou_risco";"moro_risco";"prof_saude";"genero";"idade";"escolaridade";"estuda";"nivel_educ";"adult_menos_60";"adult_mais_60";"jovens";"crincas";"bebes";"prof";"domi";"renda"
"ate 2 vezes por semana";"n/a";"a pe";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"5";"4";"5";"5";"4";"3";"5";"4";"belo horizonte";"coracao eucaristico";NA;NA;"eventualmente";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"4";"3";"5";"5";"compras em lojas fisicas";NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"nao";"nao";"sim";"nao";"mulher";"23";"ensino medio";"sim";"graduacao";"2";NA;"3";NA;NA;"estudante";"dependente";"entre 5.000 e 10.000 reais"
"eventualmente";"eventualmente";"transporte publico";"transporte publico";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"nunca";"nunca";"nunca";"5";"1";"5";"4";"3";"2";"4";"1";"belo horizonte";"eymard";"belo horizonte";"nova gameleira";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"2";"3";"5";"1";"1";"3";"5";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"sim";"sim";"nao";"mulher";"29";"mestrado ou doutorado";"sim";"pos-graduacao";"3";"2";"0";"0";"0";"estudante";"contribui para a renda familiar";"entre 1.500 e 3.000 reais"
"entre 3 e 6 vezes por semana";"entre 3 e 6 vezes por semana";"a pe";"automovel particular";"todos os dias";"todos os dias";"menos de 1 vez por mes";"2 a 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"5";"5";"5";"5";"1";"1";"5";"5";"belo horizonte";"nova suica";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ate 2 vezes por semana";"diariamente";"automovel particular";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"nunca";"entre 2 e 5 vezes por semana";"5";"4";"4";"3";"1";"2";"5";"3";"belo horizonte";"funcionarios";"belo horizonte";"santo agostinho";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"3";"5";"2";"5";"5";"2";"3";"2";"belo horizonte";"sion";"belo horizonte";"buritis";"ate 2 vezes por semana";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"nunca";"3";"3";"3";"5";"3";"1";"3";"2";NA;NA;NA;NA;"compras em lojas fisicas";"compras pela internet";NA;NA;"sim";"nao";"nao";"nao";"nao";"mulher";"56";"mestrado ou doutorado";"nao";NA;"1";"0";"1";"0";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"ate 2 vezes por semana";"entre 3 e 6 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"2";"5";"5";"5";"1";"5";"1";"belo horizonte";"prado";"belo horizonte";"nova gameleira";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"1";"5";"5";"5";"1";"5";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"sim";"nao";"sim";"sim";"nao";"mulher";"40 anos";"mestrado ou doutorado";"sim";"curso livre de capacitacao (ex: linguas)";"2";NA;NA;"1";NA;"servidor(a) publico(a)";"contribui para a renda familiar";"acima de 20.000 reais"
"ate 2 vezes por semana";"diariamente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"3";"4";"3";"1";"belo horizonte";"sion";"belo horizonte";"funcionarios";"ate 2 vezes por semana";"ate 2 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"nunca";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"nunca";"todos os dias";"nunca";"nunca";"5";"5";"5";"5";"5";"1";"1";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"sim";"sim";"sim";"mulher";"49 anos";"ensino superior";"nao";NA;"2";"nenhum";"nenhum";"um";"nenhum";"autonomo(a), sem cnpj";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"eventualmente";"eventualmente";"automovel particular";"transporte publico";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"3";"2";"4";"3";"3";"5";"2";"belo horizonte";"carlos prates";"belo horizonte";"variavel";"eventualmente";"n/a";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"2";"2";"4";"3";"2";"5";"2";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"nao";"nao";"nao";"homem";"20";"ensino medio";"sim";"graduacao";"2";"0";"0";"0";"0";"autonomo(a), sem cnpj";"dependente";"abaixo de 1.000 reais."
"ate 2 vezes por semana";"eventualmente";"automovel particular";"n/a";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"4";"3";"4";"4";"3";"4";"3";"1";"belo horizonte";"coracao eucaristico";"belo horizonte";"gameleira";"entre 3 e 5 vezes por semana";"n/a";"automovel particular";"n/a";"todos os dias";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"nunca";"4";"3";"4";"5";"4";"3";"2";"2";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"compras em lojas fisicas";"compras pela internet";"nao";"sim";"sim";"sim";"nao";"homem";"57";"mestrado ou doutorado";"nao";NA;"2";"2";"0";"0";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"eventualmente";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"5";"3";"5";"5";"1";"1";"5";"1";"belo horizonte";"santo antonio";"belo horizonte";"funcionarios";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"menos de 1 vez por mes";"nunca";"nunca";"5";"3";"5";"5";"3";"3";"5";"5";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"compras em lojas fisicas";"compras pela internet";"nao";"sim";"sim";"nao";"nao";"mulher";"26";"ensino medio";"sim";"graduacao";"2";"0";"1";NA;NA;"autonomo(a), sem cnpj";"dependente";"entre 5.000 e 10.000 reais"
"entre 3 e 6 vezes por semana";"ate 2 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"2";"3";"2";"2";"1";"1";"3";"3";"belo horizonte";"buritis";"belo horizonte";"betania";"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por semana";"nunca";"nunca";"entre 2 e 5 vezes por semana";"nunca";"3";"3";"4";"4";"2";"2";"4";"4";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"mulher";"46";"pos-graduacao (especializacao)";"nao";NA;"2";NA;NA;"2";NA;"autonomo(a), com cnpj";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"entre 3 e 6 vezes por semana";"ate 2 vezes por semana";"a pe";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"5";"5";"4";"5";"1";"4";"1";"3";"belo horizonte";"ipiranga";NA;NA;"ate 2 vezes por semana";"eventualmente";"a pe";"transporte por aplicativo";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"4";"5";"5";"5";"5";"1";"1";"5";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"homem";"20";"ensino medio";"sim";"graduacao";"1";NA;"2";NA;NA;"estudante";"dependente";"entre 1.500 e 3.000 reais"
"ate 2 vezes por semana";"n/a";"automovel particular";"n/a";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"5";"5";"5";"5";"4";"5";"5";"1";"belo horizonte";"padre eustaquio";"belo horizonte";"estoril";"ate 2 vezes por semana";"n/a";"n/a";"n/a";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"3";"5";"5";"5";"5";"1";"2";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"nao";"sim";"nao";"sim";"nao";"mulher";"21";"ensino medio";"sim";"graduacao";"3";NA;NA;NA;NA;"estudante";"contribui para a renda familiar";"abaixo de 1.000 reais."
"ate 2 vezes por semana";"ate 2 vezes por semana";"a pe";"a pe";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"2";"1";"1";"2";"5";"5";"5";"belo horizonte";"cidade jardim";"belo horizonte";"cidade jardim";"entre 3 e 5 vezes por semana";"entre 3 e 5 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"nunca";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"nunca";"entre 2 e 5 vezes por mes";"nunca";"nunca";"5";"2";"5";"5";"5";"2";"5";"5";NA;"compras pela internet";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"sim";"nao";"mulher";"39";"ensino superior";"sim";"graduacao";NA;"pai e mae";NA;NA;NA;"empregado(a), trabalhando em empresa privada";"dependente";"abaixo de 1.000 reais."
"eventualmente";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"1";"5";"5";"1";"1";"5";"1";"belo horizonte";"santo antonio";"belo horizonte";"coracao eucaristico";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"automovel particular";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"5";"5";"5";"5";"1";"1";"5";"5";"compras em lojas fisicas";NA;NA;"compras pela internet";NA;NA;NA;NA;"sim";"sim";"nao";"sim";"sim";"mulher";"41";"mestrado ou doutorado";"sim";"curso livre de capacitacao (ex: linguas)";"2";"0";"0";"1";"0";"prefiro nao responder";"outros";"entre 5.000 e 10.000 reais"
"ate 2 vezes por semana";"entre 3 e 6 vezes por semana";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"5";"5";"3";"5";"5";"5";"5";"1";"belo horizonte";"coracao eucaristico";"belo horizonte";"nova gameleira";"eventualmente";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por semana";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"5";"5";"3";"5";"5";"1";"5";"5";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"homem";"22";"ensino medio";"sim";"graduacao";"2";"0";"2";"0";"0";"estudante";"dependente";"abaixo de 1.000 reais."
"ate 2 vezes por semana";"ate 2 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"3";"5";"5";"3";"5";"5";"3";"belo horizonte";"salgado filho";"belo horizonte";"santa lucia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ate 2 vezes por semana";"n/a";"transporte por aplicativo";"n/a";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"2";"5";"4";"2";"3";"5";"1";"belo horizonte";"funcionarios";"belo horizonte";"santo agostinho";"eventualmente";"n/a";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"2";"5";"4";"2";"1";"5";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"mulher";"42";"pos-graduacao (especializacao)";"nao";NA;"1";NA;NA;NA;NA;"servidor(a) publico(a)";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"diariamente";"eventualmente";"automovel particular";"a pe";"todos os dias";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"1";"1";"1";"1";"1";"3";"1";"belo horizonte";"santa efigenia";"belo horizonte";"savassi";"ate 2 vezes por semana";"eventualmente";"automovel particular";"a pe";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"1";"1";"1";"1";"1";"3";"1";"compras em lojas fisicas";"compras pela internet";NA;NA;NA;NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"homem";"51 anos";"ensino superior";"sim";"outros";"2";"0";"0";"2";"0";"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 3.000 e 5.000 reais"
"eventualmente";"n/a";"a pe";"n/a";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"1";"4";"4";"1";"2";"1";"1";"belo horizonte";"ouro preto";"belo horizonte";"nova gameleira";"ate 2 vezes por semana";"nao houve necessidade de deslocamento";"n/a";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"5";"1";"5";"4";"1";"1";"1";"4";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"sim";"nao";"mulher";"25";"mestrado ou doutorado";"sim";"pos-graduacao";"1";"1";"0";"0";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 3.000 e 5.000 reais"
"eventualmente";"eventualmente";"automovel particular";"automovel particular";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"3";"2";"5";"5";"1";"belo horizonte";"floresta";"belo horizonte";"floresta";"eventualmente";"eventualmente";"automovel particular";"automovel particular";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"2";"3";"1";"1";"5";"5";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;NA;NA;"compras pela internet";"sim";"sim";"nao";"sim";"nao";"homem";"25";"ensino superior";"sim";"graduacao";"2";"1";"0";"0";"0";"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 1.000 e 1.500 reais"
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"5";"4";"4";"3";"1";"1";"2";"1";"belo horizonte";"sao lucas";"belo horizonte";"pampulha";"eventualmente";"ate 2 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"nunca";"menos de 1 vez por mes";"5";"4";"5";"4";"2";"1";"2";"5";NA;"compras pela internet";NA;NA;"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"sim";"nao";"homem";"19";"ensino medio";"sim";"graduacao";"2";NA;"3";NA;NA;"estudante";"contribui para a renda familiar";"abaixo de 1.000 reais."
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"menos de 1 vez por mes";"5";"1";"1";"1";"1";"1";"5";"1";"belo horizonte";"buritis";"contagem";"eldorado";"eventualmente";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"1";"1";"1";"1";"5";"2";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"homem";"belo horizonte";"ensino medio";"sim";"graduacao";"2";"0";"1";"1";"0";"empregado(a), trabalhando em empresa privada";"dependente";"entre 1.500 e 3.000 reais"
"eventualmente";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"2";"4";"1";"1";"3";"1";"1";"belo horizonte";"dom cabral";"belo horizonte";"funcionarios";"ate 2 vezes por semana";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"5";"3";"5";"3";"1";"1";"1";"3";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"nao";"sim";"nao";"mulher";"19";"ensino medio";"sim";"graduacao";"4";"0";"2";"0";"0";"empregado(a), trabalhando em empresa privada";"dependente";"abaixo de 1.000 reais."
"eventualmente";"ate 2 vezes por semana";"a pe";"transporte por aplicativo";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"4";"2";"4";"5";"4";"2";"4";"belo horizonte";"caicara";NA;NA;"eventualmente";"nao houve necessidade de deslocamento";"n/a";"n/a";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"5";"5";"5";"5";"5";"1";"4";"5";"compras em lojas fisicas";"compras pela internet";"compras em lojas fisicas";"compras pela internet";"compras em lojas fisicas";"compras pela internet";"compras em lojas fisicas";"compras pela internet";"nao";"sim";"sim";"sim";"nao";"homem";"23";"ensino medio";"sim";"graduacao";"2";"1";"1";"0";"0";"estudante";"contribui para a renda familiar";"entre 3.000 e 5.000 reais"
"eventualmente";"eventualmente";"transporte por aplicativo";"transporte por aplicativo";"nunca";"nunca";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"2";"5";"3";"1";"4";"3";"1";"belo horizonte";NA;NA;NA;"eventualmente";"eventualmente";"automovel particular";"automovel particular";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"3";"5";"3";"2";"3";"2";"3";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"nao";"nao";"homem";"23";"prefiro nao responder";"sim";"graduacao";"3";NA;"1";NA;NA;"estudante";"outros";NA
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"2";"4";"1";"4";"belo horizonte";"coracao eucaristico";"belo horizonte";"gameleira";"eventualmente";"eventualmente";"automovel particular";"automovel particular";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"5";"5";"5";"5";"3";"4";"1";"4";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"sim";"nao";"mulher";"36";"mestrado ou doutorado";"nao";NA;"1";"1";"0";"0";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"sem necessidade de deslocamento";"eventualmente";"a pe";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"5";"1";"3";"5";"belo horizonte";"buritis";"nova lima";"rodovia";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"3";"1";"3";"5";NA;NA;"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"nao";"sim";"nao";"mulher";"28";"ensino superior";"nao";NA;"1";"2";"1";"0";"0";"empregado(a), trabalhando em empresa privada";"dependente";"entre 1.500 e 3.000 reais"
