"internet_compras_antes";"internet_serv_antes";"modo_compras_antes";"modo_serv_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"internet_compra_conve_antes";"internet_compra_essenc_antes";"internet_compra_duravel_antes";"star_preco_antes";"star_compra_non_comercial_antes";"star_preco_entrega_antes";"star_prazo_entrega_antes";"star_entrega_agendada_antes";"star_retirada_antes";"star_devolucao_antes";"star_contato_antes";"cidade_moradia_antes";"bairro_moradia_antes";"cidade_trabalho_antes";"bairro_trabalho_antes";"internet_compras_depois";"internet_serv_depois";"modo_compras_depois";"modo_serv_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"internet_compra_conve_depois";"internet_compra_essenc_depois";"internet_compra_duravel_depois";"star_preco_depois";"star_compra_non_comercial_depois";"star_preco_entrega_depois";"star_prazo_entrega_depois";"star_entrega_agendada_depois";"star_retirada_depois";"star_devolucao_depois";"star_contato_depois";"fisica_nenhuma";"internet_nenhuma";"fisica_mais";"internet_mais";"fisica_menos";"internet_menos";"fisica_dif";"internet_dif";"iso_parcial";"iso_total";"sou_risco";"moro_risco";"prof_saude";"genero";"idade";"escolaridade";"estuda";"nivel_educ";"adult_menos_60";"adult_mais_60";"jovens";"crincas";"bebes";"prof";"domi";"renda"
"ate 2 vezes por semana";"n/a";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"1";"5";"5";"5";"1";"5";"1";"belo horizonte";"lourdes";NA;NA;"eventualmente";"n/a";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"5";"1";"5";"5";"5";"1";"5";"5";"compras em lojas fisicas";NA;NA;NA;"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"mulher";"41";"ensino medio";"nao";NA;"1";"0";"0";"0";"0";"desempregado(a), procurando emprego";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"ate 2 vezes por semana";"ate 2 vezes por semana";"automovel particular";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"4";"4";"2";"3";"1";"4";"2";"1";"belo horizonte";"sion";"belo horizonte";"estoril";"ate 2 vezes por semana";"eventualmente";"automovel particular";"n/a";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"4";"3";"5";"5";"1";"4";"3";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;"compras em lojas fisicas";"compras pela internet";"sim";"nao";"nao";"sim";"nao";"mulher";"40";"pos-graduacao (especializacao)";"nao";NA;"1";"1";NA;"2";NA;"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"ate 2 vezes por semana";"entre 3 e 6 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"nunca";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"5";"5";"3";"3";"5";"4";"3";"2";"belo horizonte";"calafate";"belo horizonte";"savassi";"entre 3 e 5 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"4";"5";"4";"5";"5";"4";"4";"3";"compras em lojas fisicas";NA;"compras em lojas fisicas";NA;NA;"compras pela internet";NA;"compras pela internet";"nao";"nao";"nao";"nao";"sim";"homem";"34";"pos-graduacao (especializacao)";"nao";NA;"2";"0";"0";"0";"0";"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"menos de 1 vez por mes";"3";"1";"5";"3";"3";"3";"3";"1";"belo horizonte";"buritis";"belo horizonte";"nova suissa";"eventualmente";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"5";"5";"5";"5";"5";"4";"5";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"nao";"nao";"mulher";"39";"mestrado ou doutorado";"nao";NA;"2";"0";"0";"1";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"eventualmente";"ate 2 vezes por semana";"automovel particular";"automovel particular";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"3";"4";"5";"5";"3";"5";"5";"belo horizonte";"castelo";"belo horizonte";"savassi";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"automovel particular";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"5";"4";"4";"5";"5";"3";"5";"5";NA;"compras pela internet";NA;NA;"compras em lojas fisicas";NA;NA;NA;"sim";"sim";"sim";"sim";"nao";"homem";"35";"pos-graduacao (especializacao)";"sim";"pos-graduacao";"2";NA;NA;NA;NA;"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"entre 3 e 6 vezes por semana";"ate 2 vezes por semana";"transporte publico";"a pe";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"nunca";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"3";"3";"3";"4";"1";"3";"1";"belo horizonte";NA;"belo horizonte";NA;"entre 3 e 5 vezes por semana";"nao houve necessidade de deslocamento";"a pe";"n/a";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"nunca";"3";"1";"3";"3";"4";"1";"3";"3";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"nao";"nao";"homem";"52";"mestrado ou doutorado";"nao";NA;"1";"0";"0";"0";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 10.000 e 20.000 reais"
"entre 3 e 6 vezes por semana";"diariamente";"transporte por aplicativo";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"nunca";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"5";"5";"5";"5";"5";"1";"5";"5";"belo horizonte";"sao pedro";"belo horizonte";"sao pedro";"eventualmente";"eventualmente";"transporte por aplicativo";"transporte por aplicativo";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"5";"5";"5";"5";"5";"1";"5";"5";NA;"compras pela internet";NA;"compras pela internet";NA;"compras pela internet";NA;"compras pela internet";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"entre 3 e 6 vezes por semana";"entre 3 e 6 vezes por semana";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"1";"1";"1";"5";"5";"1";"belo horizonte";"padre eustaquio";"belo horizonte";"funcionarios";"entre 3 e 5 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"5";"5";"5";"5";"1";"5";"5";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;NA;"nao";"sim";"nao";"nao";"nao";"mulher";"42";"ensino superior";"nao";NA;"2";"0";"0";"1";"0";"empregado(a), trabalhando em empresa privada";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"eventualmente";"eventualmente";"transporte por aplicativo";"transporte por aplicativo";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"5";"4";"5";"5";"1";"2";"5";"1";"belo horizonte";"horto";"belo horizonte";"santa efigenia";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"nunca";"nunca";"nunca";"menos de 1 vez por mes";"menos de 1 vez por mes";"nunca";"5";"2";"5";"4";"3";"2";"5";"4";NA;"compras pela internet";NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"sim";"nao";"sim";"sim";"nao";"homem";"29";"pos-graduacao (especializacao)";"nao";NA;"3";"1";NA;NA;NA;"autonomo(a), com cnpj";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
"ate 2 vezes por semana";"eventualmente";"automovel particular";"automovel particular";"entre 2 e 5 vezes por semana";"2 a 5 vezes por mes";"menos de 1 vez por mes";"2 a 5 vezes por mes";"2 a 5 vezes por mes";"menos de 1 vez por mes";"nunca";"nunca";"entre 2 e 5 vezes por mes";"5";"3";"5";"5";"2";"2";"2";"1";"belo horizonte";"bairro santo antonio";"belo horizonte";"pampulha";"eventualmente";"nao houve necessidade de deslocamento";"automovel particular";"n/a";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"nunca";"nunca";"nunca";"nunca";"entre 2 e 5 vezes por mes";"entre 2 e 5 vezes por mes";"menos de 1 vez por mes";"5";"2";"4";"4";"1";"1";"1";"5";NA;NA;NA;"compras pela internet";"compras em lojas fisicas";NA;NA;"compras pela internet";"nao";"sim";"nao";"sim";"nao";"mulher";"50";"mestrado ou doutorado";"nao";NA;"2";"0";"0";"1";"0";"servidor(a) publico(a)";"contribui para a renda familiar";"entre 5.000 e 10.000 reais"
